Timestamp,Age,Occupation,Did you vote in the last election?,"(If “No,” ask this question)

Why didn’t you vote? ",Why did you vote for your candidate?  ,Which party do you belong to?,Why do you think the NPP parliamentary candidate lost in the election?,Did you know about Frederick Obeng Adom’s projects as MP before the election?,Do you think Frederick Obeng Adom solved the community’s problems?  ,Why do you think Emmanuel Drah (NDC) won?,What did the NDC do better than the NPP?  ,Which of the former MPs would you say was the best performing MP for the constituency?,Community name:,What are the biggest problems in your community? (Pick 2 or more)  ,Who addressed these issues better during the election?,Suggestions for the team that wants to win in 2028,Do you think the election results were fair and reflect the people’s choice?
12/23/2024 20:36,28,Trader,Yes,,For change and development ,NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues","People were not happy with the NPP government, For change ",They made stronger promises,Salas Mensah,Water works ,"Bad roads, Clean water, Rubbish containers ",Emmanuel Drah (NDC),Massive campaign ,Yes
12/23/2024 20:38,32,Teacher ,Yes,,I liked their projects or promises,NDC,The NDC’s promises sounded better,"Yes, I knew about them","No, he didn't solve major issues",The NDC’s promises were better,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,Atokrom,Bad roads,Emmanuel Drah (NDC),Should have good policies ,Yes
12/23/2024 20:38,41,Teacher ,Yes,,They were active in the community,None ,He didn’t do enough for the community,"I heard, but they didn't help me","He tried, but it wasn't enough",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,Kofi krom,"Help for farmers (tools, fertilizer), Jobs, Schools and education, Health Services",Emmanuel Drah (NDC),Job creation ,Yes
12/23/2024 20:41,,Trader,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","No, I didn't know about them","No, he didn't solve major issues","The NDC’s promises were better, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Salas Mensah,,"Help for farmers (tools, fertilizer), Jobs",Emmanuel Drah (NDC),Do whatever they promised ,Yes
12/23/2024 20:47,32,Teacher ,Yes,,I liked their projects or promises,NDC,People were not happy with the NPP government and wanted change,"Yes, I knew about them","No, he didn't solve major issues",The NDC’s promises were better,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,Atohkrom,"Bad roads, Jobs, Schools and education",Emmanuel Drah (NDC),God policies ,Yes
12/23/2024 20:57,21,Plaster of paris,No,I don’t have an ID card,,,,,,,,,,,,,
12/24/2024 7:18,32,Unemployed ,Yes,,They were active in the community,None ,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","He tried, but it wasn't enough",He was more visible and approachable,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,KOFI KROM ,"Help for farmers (tools, fertilizer), Jobs, Schools and education",Emmanuel Drah (NDC),Job creation ,Yes
12/24/2024 7:27,34,Painter,Yes,,I liked their projects or promises,NDC,None,"Yes, I knew about them, Fixing of transformers and AstroTurf ","Yes, he did most of the work needed",The NDC’s promises were better,They made stronger promises,,Amahkrom,Jobs,Emmanuel Drah (NDC),Stronger promises,Yes
12/24/2024 7:33,37,Food vendor ,No,Nine,,None,None,"Yes, I knew about them, AstroTurf and boreholes ","Yes, he did most of the work needed",None,None,Frederick Adom,Amahkrom ,Jobs,Frederick Obeng Adom (NPP),Do the needful for the community ,Yes
12/24/2024 7:42,49,Trader,Yes,,I support their party,NPP,Lack of team support ,"Yes, I knew about them, Boreholes, electricity, health facilities, Awards and AstroTurf ","Yes, he did most of the work needed",Lack of team support ,None,Frederick Adom,Atohkrom ,"Jobs, Market place and teenage pregnancy ",Frederick Obeng Adom (NPP),Provide the needful for the community ,No
12/24/2024 7:49,20,Seamstress,No,Don’t have an ID card,,NDC,He didn’t do enough for the community,"Yes, I knew about them, Awards","No, he didn't solve major issues",The NDC’s promises were better,None,Frederick Adom,Atohkrom ,Jobs,Emmanuel Drah (NDC),Fulfill their promises ,Yes
12/24/2024 7:53,19,Unemployed ,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","He tried, but it wasn't enough",People were not happy with the NPP government,"They made stronger promises, They focused on key issues (farming, roads, schools)",Assifu Bekoe,Attorkrom ,"Jobs, Clean water",Emmanuel Drah (NDC),Obey their promises ,No
12/24/2024 8:49,,,No,,,,,,,,,,,,,,
12/24/2024 9:17,39,Trader,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,,"No, he didn't solve major issues",People were not happy with the NPP government,"They were better at reaching people, They focused on key issues (farming, roads, schools)",Frederick Adom,Attokrom,Jobs,Frederick Obeng Adom (NPP),Do better,Yes
12/24/2024 9:17,25,Seamstress ,Yes,,None,NDC,None,"No, I didn't know about them","No, he didn't solve major issues","The NDC’s promises were better, People here always vote NDC","They focused on key issues (farming, roads, schools)",Salas Mensah,Atohkrom ,Jobs,Neither,Fulfill their promise ,Yes
12/24/2024 9:20,25,Trader ,Yes,,I support their party,NDC,His team didn't help ,"I heard, but they didn't help me","No, he didn't solve major issues",People here always vote NDC,They were better at reaching people,Frederick Adom,Atorman,"Jobs, Unity",Emmanuel Drah (NDC),They should make stronger policies ,Yes
12/24/2024 9:22,30,Trader,Yes,,"I support their party, For change ",NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","He tried, but it wasn't enough",The NDC’s promises were better,They made stronger promises,Assifu Bekoe,Atorman,Jobs,Emmanuel Drah (NDC),Job creation ,Yes
12/24/2024 9:23,44,Farmer ,No,,,,People vote for NDC here,"No, I didn't know about them","No, he didn't solve major issues",People here always vote NDC,None ,,Attorkrom ,"Jobs, Schools and education",Neither,Can't tell ,Dont know
12/24/2024 9:23,32,Factory worker,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, People vote for NDC here","No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, People were not happy with the NPP government",They were better at reaching people,Frederick Adom,,Jobs,Frederick Obeng Adom (NPP),Nothing,Yes
12/24/2024 9:24,21,Unemployed ,Yes,,I liked their projects or promises,NDC,He didn’t do enough for the community,"I heard, but they didn't help me","No, he didn't solve major issues",He was more visible and approachable,They made stronger promises,Salas Mensah,Atoman ,"Help for farmers (tools, fertilizer), Jobs",Emmanuel Drah (NDC),Job creation ,Yes
12/24/2024 9:25,,Trader,Yes,,"I support their party, I liked their projects or promises",NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues",People were not happy with the NPP government,They were better at reaching people,Salas Mensah,Atohkrom,"Jobs, Health Services, Clean water, Funeral grounds ",Emmanuel Drah (NDC),Do whatever they promised ,Yes
12/24/2024 9:26,69,,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","No, I didn't know about them","No, he didn't solve major issues",None,They made stronger promises,Salas Mensah,Atohkrom ,"Jobs, Clean water, Lavatories ",Frederick Obeng Adom (NPP), should provide the needful for the community ,Yes
12/24/2024 9:28,28,Seamstress ,Yes,,I liked their projects or promises,NDC,He didn’t do enough for the community,"I heard, but they didn't help me","No, he didn't solve major issues","He was more visible and approachable, The NDC’s promises were better, Kotoku factory ",They made stronger promises,,,"Clean water, Lavatories ",Emmanuel Drah (NDC),They should make stronger policies ,Yes
12/24/2024 9:29,23,Hairdresser,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They focused on key issues (farming, roads, schools)",Assifu Bekoe,Atoman,Jobs,Emmanuel Drah (NDC),Nothing,Yes
12/24/2024 9:29,18,Hairdresser ,No,My name wasn’t on the voter list,,NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","He tried, but it wasn't enough",The NDC’s promises were better,They made stronger promises,Assifu Bekoe,Atoman ,"Bad roads, Jobs, Schools and education",Emmanuel Drah (NDC),Job creation ,Yes
12/24/2024 9:30,19,Farmer,Yes,,"I support their party, For change ",NDC,None,"No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, People were not happy with the NPP government",They made stronger promises,Salas Mensah,Atorman,"Help for farmers (tools, fertilizer), Car",Emmanuel Drah (NDC),Job creation ,Yes
12/24/2024 9:30,30,Trader ,Yes,,I support their party,NDC,People vote for NDC here,"I heard, but they didn't help me","No, he didn't solve major issues",People here always vote NDC,They made stronger promises,,Atorman ,Jobs,Emmanuel Drah (NDC),,Yes
12/24/2024 9:32,,Trader,Yes,,I liked their projects or promises,NDC,People were not happy with the NPP government and wanted change,"Yes, I knew about them","No, he didn't solve major issues","The NDC’s promises were better, People here always vote NDC","They were better at reaching people, They made stronger promises",Frederick Adom,,"Help for farmers (tools, fertilizer), Clean water",Emmanuel Drah (NDC),Provide jobs ,Yes
12/24/2024 9:32,56,Farmer,Yes,,"I support their party, I liked their projects or promises",NDC,"People vote for NDC here, None","No, I didn't know about them","No, he didn't solve major issues",The NDC’s promises were better,They made stronger promises,Frederick Adom,Atohkrom ,Electricity ,Emmanuel Drah (NDC),Should provide the needful for the community ,Yes
12/24/2024 9:33,54,Trader,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, People vote for NDC here, Didn't get share if the money ","No, I didn't know about them","He tried, but it wasn't enough",The NDC’s promises were better,"They were better at reaching people, They focused on key issues (farming, roads, schools)",Salas Mensah,Attorkrom ,"Jobs, Clean water",Neither,Can't tell ,No
12/24/2024 9:34,29,Hairdresser ,Yes,,I liked their projects or promises,NDC,He didn’t do enough for the community,"I heard, but they didn't help me","He tried, but it wasn't enough",The NDC’s promises were better,They made stronger promises,Assifu Bekoe,Atoman ,"Jobs, Lavatory ",Emmanuel Drah (NDC),Job creation ,Yes
12/24/2024 9:34,43,Farmer ,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",Breaking the 8 in Adieso is not possible ,People always vote NDC ,Frederick Adom,Atorman ,Clean water,Frederick Obeng Adom (NPP),Adom will definitely win ,Yes
12/24/2024 9:35,18,Mechanic,No,,,NDC,"People were not happy with the NPP government and wanted change, People vote for NDC here","No, I didn't know about them","No, he didn't solve major issues",The NDC’s promises were better,"They were better at reaching people, They focused on key issues (farming, roads, schools)",Assifu Bekoe,,Jobs,Emmanuel Drah (NDC),,
12/24/2024 9:37,19,Tailor,No,,,None,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",,,,,,Frederick Obeng Adom (NPP),,
12/24/2024 9:38,19,Okada,Yes,,"I support their party, I liked their projects or promises",NDC,People were not happy with the NPP government and wanted change,"Yes, I knew about them, Road constractions,and street light ","No, he didn't solve major issues",The NDC’s promises were better,"They were better at reaching people, They focused on key issues (farming, roads, schools)",Frederick Adom,Attorkrom ,Jobs,Emmanuel Drah (NDC),Do what they citizens says,Yes
